PID,Timestamp,BeginTime,EndTime,BeginTime2,EndTime2,Tier,StimulusID,StimulusCode,Tag
51,2016-09-01-204553,00:00.0,00:20.0,0,19.965,4,'M_pala','M_pala','correct image clicked'
51,2016-09-01-204553,00:23.3,00:23.3,23.333,23.333,1,'M_pala','M_pala','task 2 animated'
51,2016-09-01-204553,00:23.6,00:32.2,23.573,32.233,4,'D_ndAA','D_ndAA','correct image clicked'
51,2016-09-01-204553,00:38.7,00:38.7,38.727,38.727,1,'D_ndAA','D_ndAA','task 2 animated'
51,2016-09-01-204553,00:38.7,00:47.1,38.727,47.147,4,'M_nee','M_nee','correct image clicked'
51,2016-09-01-204553,00:50.8,00:50.8,50.755,50.755,1,'M_nee','M_nee','task 2 animated'
51,2016-09-01-204553,00:50.8,00:57.0,50.755,57.009,4,'L_kma','L_kma','correct image clicked'
51,2016-09-01-204553,01:02.1,01:02.1,62.06,62.06,1,'L_kma','L_kma','task 2 animated'
51,2016-09-01-204553,01:02.1,01:09.8,62.06,69.758,4,'K_yi','K_yi','correct image clicked'
51,2016-09-01-204553,01:16.5,01:16.5,76.493,76.493,1,'K_yi','K_yi','task 2 animated'
51,2016-09-01-204553,01:16.5,01:24.7,76.493,84.672,4,'G_dee','G_dee','correct image clicked'
51,2016-09-01-204553,01:28.5,01:28.5,88.52,88.52,1,'G_dee','G_dee','task 2 animated'
51,2016-09-01-204553,01:28.5,01:33.3,88.52,93.331,4,'K_ngomo','K_ngomo','correct image clicked'
51,2016-09-01-204553,01:35.7,01:35.7,95.737,95.737,1,'K_ngomo','K_ngomo','task 2 animated'
51,2016-09-01-204553,01:35.7,01:42.5,95.737,102.472,4,'A_dii','A_dii','correct image clicked'
51,2016-09-01-204553,01:46.1,01:46.1,106.08,106.08,1,'A_dii','A_dii','task 2 animated'
51,2016-09-01-204553,01:46.1,02:02.4,106.08,122.437,4,'H_kpNee','H_kpNee','incorrect image clicked'
51,2016-09-01-204553,02:07.5,02:07.5,127.489,127.489,1,'H_kpNee','H_kpNee','task 2 animated'
51,2016-09-01-204553,02:07.5,02:12.1,127.489,132.059,4,'I_tpee','I_tpee','incorrect image clicked'
51,2016-09-01-204553,02:15.9,02:15.9,135.908,135.908,1,'I_tpee','I_tpee','task 2 animated'
