StimulusID,Pair,Word,StimType,Rare,Complex
'A_dii',d-t,dii,target,1,0
'A_tii',d-t,tii,target,1,0
'B_nnuu',nn-n,nnuu,target,1,0
'B_nuu',nn-n,nuu,target,1,0
'C_dpI',dp-tp,dpI,target,1,1
'C_tpI',dp-tp,tpI,target,1,1
'D_ndAA',nd-nt,ndAA,target,1,0
'D_ntAA',nd-nt,ntAA,target,1,0
'E_kAA',t-k,kAA,target,0,0
'E_tAA',t-k,tAA,target,0,0
'F_kAA',p-k,kAA,target,0,0
'F_pAA',p-k,pAA,target,0,0
'G_dee',d-k,dee,target,0,0
'G_kee',d-k,kee,target,0,0
'H_dpNee',dp-kp,dpNee,target,0,1
'H_kpNee',dp-kp,kpNee,target,0,1
'I_kpee',tp-kp,kpee,target,0,1
'I_tpee',tp-kp,tpee,target,0,1
'J_kEmkEm',filler1,kEmkEm,filler,filler,filler
'J_wNAA',filler1,wNAA,filler,filler,filler
'K_ngomo',filler2,ngomo,filler,filler,filler
'K_yi',filler2,yi,filler,filler,filler
'L_kma',filler3,kma,filler,filler,filler
'L_te',filler3,te,filler,filler,filler
'M_nee',filler4,nee,filler,filler,filler
'M_pala',filler4,pala,filler,filler,filler
