PID,Gender,Age,Multilingual,Test date,Tester,Manager,Comments,Task2
P01,F,6,Y,29-Aug-16,A,P,,NAS
P02,F,8,Y,29-Aug-16,A,P,,NAS
P03,M,10,N,29-Aug-16,A,P,,NAS
P04,F,12,N,29-Aug-16,A,P,,NAS
P05,M,12,N,29-Aug-16,A,P,,NAS
P06,M,4,N,30-Aug-16,A,P,,NAS
P07,F,4,Y,30-Aug-16,A,P,,NAS
P08,F,5,N,30-Aug-16,A,P,,NAS
P09,M,5,N,30-Aug-16,A,P,,NAS
P10,F,7,N,30-Aug-16,A,P,,NAS
P11,F,7,N,30-Aug-16,A,P,,NAS
P12,F,3,N,31-Aug-16,A,P,Perception only,NAS
P13,F,4,Y,31-Aug-16,A,P,Perception only,NAS
P14,M,6,Y,31-Aug-16,A,P,Perception only,NAS
P15,M,21,Y,31-Aug-16,A,P,,NAS
P16,F,37,Y,31-Aug-16,A,P,,NAS
P17,M,3,Y,1-Sep-16,A,P,Perception only,NAS
P18,M,4,U,1-Sep-16,,,Perception only,NAS
P19,F,4,Y,1-Sep-16,A,P,Perception only,NAS
P20,M,A,U,1-Sep-16,A,P,,NAS
P21,M,A,U,1-Sep-16,A,P,,NAS
P22,M,A,U,1-Sep-16,A,P,,NAS
P23,M,A,U,1-Sep-16,A,P,,NAS
P24,F,A,U,1-Sep-16,A,P,,NAS
P25,F,42,Y,2-Sep-16,A,P,,NAS
P26,F,46,Y,2-Sep-16,A,P,,NAS
P27,M,A,U,2-Sep-16,A,P,,NAS
P28,F,A,U,2-Sep-16,A,P,,NAS
P29,M,7,N,29-Aug-16,G,S,,POA
P30,M,9,N,29-Aug-16,G,S,,POA
P31,M,9,N,29-Aug-16,G,S,,POA
P32,F,12,N,29-Aug-16,G,S,,POA
P33,M,12,N,29-Aug-16,G,S,,POA
P34,F,3,N,30-Aug-16,G,S,Cleft lip,POA
P35,M,4,N,30-Aug-16,G,S,,POA
P36,M,4,N,30-Aug-16,G,S,Perception only (some production data; but stopped early),POA
P37,F,5,N,30-Aug-16,G,S,,POA
P38,F,6,N,30-Aug-16,G,S,,POA
P39,F,6,Y,30-Aug-16,G,S,,POA
P40,M,15,Y,30-Aug-16,G,S,,POA
P41,M,5,Y,31-Aug-16,G,S,Perception only,POA
P42,M,5,Y,31-Aug-16,G,S,Perception only,POA
P43,F,6,Y,31-Aug-16,G?,S?,Perception only,POA
P44,F,8,Y,31-Aug-16,G,S,Perception only,POA
P45,F,8,Y,31-Aug-16,G?,S?,Perception only,POA
P46,M,23,U,31-Aug-16,G,S,,POA
P47,M,28,Y,31-Aug-16,G,S,,POA
P48,M,37,Y,31-Aug-16,G,S,,POA
P49,M,44,U,31-Aug-16,G,S,,POA
P50,F,4,U,1-Sep-16,G,S,Perception only,POA
P51,M,6,Y,1-Sep-16,G,S,Perception only,POA
P52,F,7,Y,1-Sep-16,G,S,Perception only,POA
P53,F,A,U,2-Sep-16,A,P,,POA
P54,F,A,U,2-Sep-16,A,P,,POA
P55,F,A,U,2-Sep-16,A,P,,POA
P56,F,A,U,2-Sep-16,A,P,,POA
P57,M,A,U,2-Sep-16,A,P,,POA
P58,F,3,Y,1-Sep-16,G,S,Perception only,POA
